x,y,motor1,motor2,V1,V2,A1,A2
0.65,0.37,-0.15,0.1,0.0,1.54820123186e-18,-2.32230184779e-18,0.0
0.35,0.38,0.15,0.1,0.0,1.88609521571e-17,2.82914282356e-17,0.0
0.36,0.38,0.14,0.1,0.0,3.42781686308e-16,4.79894360832e-16,0.0
0.37,0.38,0.13,0.1,0.0,5.10049953247e-15,6.63064939221e-15,0.0
0.38,0.38,0.12,0.1,0.0,6.21368047508e-14,7.4564165701e-14,0.0
0.39,0.38,0.11,0.1,0.0,6.19763827742e-13,6.81740210517e-13,0.0
0.4,0.38,0.1,0.1,0.0,5.0610967229e-12,5.0610967229e-12,0.0
0.41,0.38,0.09,0.1,0.0,3.38379584466e-11,3.04541626019e-11,0.0
0.42,0.38,0.08,0.1,0.0,1.8522720424e-10,1.48181763392e-10,0.0
0.43,0.38,0.07,0.1,0.0,8.30130734094e-10,5.81091513866e-10,0.0
0.44,0.38,0.06,0.1,0.0,3.04599590255e-09,1.82759754153e-09,0.0
0.45,0.38,0.05,0.1,0.0,9.15067712022e-09,4.57533856011e-09,0.0
0.46,0.38,0.04,0.1,0.0,2.2507032411e-08,9.00281296441e-09,0.0
0.47,0.38,0.03,0.1,0.0,4.53235922842e-08,1.35970776853e-08,0.0
0.48,0.38,0.02,0.1,0.0,7.47259596779e-08,1.49451919356e-08,0.0
0.49,0.38,0.01,0.1,0.0,1.0086948164e-07,1.0086948164e-08,0.0
0.5,0.38,-1.11022302463e-16,0.1,0.0,1.11478011717e-07,-1.23765455348e-22,0.0
0.51,0.38,-0.01,0.1,0.0,1.0086948164e-07,-1.0086948164e-08,0.0
0.52,0.38,-0.02,0.1,0.0,7.47259596778e-08,-1.49451919356e-08,0.0
0.53,0.38,-0.03,0.1,0.0,4.53235922842e-08,-1.35970776853e-08,0.0
0.54,0.38,-0.04,0.1,0.0,2.2507032411e-08,-9.00281296441e-09,0.0
0.55,0.38,-0.05,0.1,0.0,9.15067712022e-09,-4.57533856011e-09,0.0
0.56,0.38,-0.06,0.1,0.0,3.04599590255e-09,-1.82759754153e-09,0.0
0.57,0.38,-0.07,0.1,0.0,8.30130734094e-10,-5.81091513866e-10,0.0
0.58,0.38,-0.08,0.1,0.0,1.8522720424e-10,-1.48181763392e-10,0.0
0.59,0.38,-0.09,0.1,0.0,3.38379584466e-11,-3.04541626019e-11,0.0
0.6,0.38,-0.1,0.1,0.0,5.0610967229e-12,-5.0610967229e-12,0.0
0.61,0.38,-0.11,0.1,0.0,6.19763827742e-13,-6.81740210517e-13,0.0
0.62,0.38,-0.12,0.1,0.0,6.21368047508e-14,-7.4564165701e-14,0.0
0.63,0.38,-0.13,0.1,0.0,5.10049953247e-15,-6.63064939221e-15,0.0
0.64,0.38,-0.14,0.1,0.0,3.42781686308e-16,-4.79894360832e-16,0.0
0.65,0.38,-0.15,0.1,0.0,1.88609521571e-17,-2.82914282356e-17,0.0
0.35,0.39,0.15,0.1,0.0,1.88122578086e-16,2.82183867129e-16,0.0
0.36,0.39,0.14,0.1,0.0,3.41896708141e-15,4.78655391397e-15,0.0
0.37,0.39,0.13,0.1,0.0,5.08733129475e-14,6.61353068318e-14,0.0
0.38,0.39,0.12,0.1,0.0,6.19763827742e-13,7.43716593291e-13,0.0
0.39,0.39,0.11,0.1,0.0,6.18163749663e-12,6.79980124629e-12,0.0
0.4,0.39,0.1,0.1,0.0,5.04803021242e-11,5.04803021242e-11,0.0
0.41,0.39,0.09,0.1,0.0,3.37505970932e-10,3.03755373839e-10,0.0
0.42,0.39,0.08,0.1,0.0,1.84748991533e-09,1.47799193226e-09,0.0
0.43,0.39,0.07,0.1,0.0,8.27987509479e-09,5.79591256635e-09,0.0
0.44,0.39,0.06,0.1,0.0,3.03813147363e-08,1.82287888418e-08,0.0
0.45,0.39,0.05,0.1,0.0,9.12704857066e-08,4.56352428533e-08,0.0
0.46,0.39,0.04,0.1,0.0,2.2448902107e-07,8.9795608428e-08,0.0
0.47,0.39,0.03,0.1,0.0,4.52064859581e-07,1.35619457874e-07,0.0
0.48,0.39,0.02,0.1,0.0,7.45327856837e-07,1.49065571367e-07,0.0
0.49,0.39,0.01,0.1,0.0,1.00608606035e-06,1.00608606035e-07,0.0
