w,x,y,motor1,motor2
1000.0,0.54,0.36,-0.999915236992,0.089908551908
1000.0,0.55,0.36,-0.999771944973,0.0897514306145
1000.0,0.56,0.36,-0.999386543655,0.0893245822618
1000.0,0.57,0.36,-0.99835106656,0.0881659836261
1000.0,0.58,0.36,-0.995576270587,0.0850290056182
1000.0,0.59,0.36,-0.988191565078,0.0765925063755
1000.0,0.6,0.36,-0.968893172368,0.0543090083666
1000.0,0.61,0.36,-0.920789603464,-0.00185035340423
1000.0,0.62,0.36,-0.813917877443,-0.12809625116
1000.0,0.63,0.36,-0.62763679607,-0.351169448131
1000.0,0.64,0.36,-0.409490652979,-0.617313393684
1000.0,0.65,0.36,-0.24939852571,-0.819061785528
1000.0,0.35,0.37,-0.0311232142239,0.890333311739
1000.0,0.36,0.37,-0.203146149293,0.752573892336
1000.0,0.37,0.37,-0.459999999993,0.539999999992
1000.0,0.38,0.37,-0.712232678988,0.327426107741
1000.0,0.39,0.37,-0.873644901696,0.189666688959
1000.0,0.4,0.37,-0.950202829555,0.1236318061
1000.0,0.41,0.37,-0.981294331967,0.0965473206557
1000.0,0.42,0.37,-0.993106343197,0.0861574381105
1000.0,0.43,0.37,-0.997477889072,0.0822748371986
1000.0,0.44,0.37,-0.999079785109,0.0808381938998
1000.0,0.45,0.37,-0.999664573203,0.0803085337674
1000.0,0.46,0.37,-0.999877714977,0.0801134784183
1000.0,0.47,0.37,-0.999955255258,0.0800415694649
1000.0,0.48,0.37,-0.999983175942,0.0800147711175
1000.0,0.49,0.37,-0.999992461172,0.080003998795
1000.0,0.5,0.37,-0.999993455246,0.0799975635294
1000.0,0.51,0.37,-0.999987389078,0.0799884831115
1000.0,0.52,0.37,-0.999967885209,0.0799669066066
1000.0,0.53,0.37,-0.999914255594,0.0799094250974
1000.0,0.54,0.37,-0.999769560335,0.0797536676606
1000.0,0.55,0.37,-0.999380255979,0.0793307052699
1000.0,0.56,0.37,-0.998334164729,0.0781827357478
1000.0,0.57,0.37,-0.995530610895,0.0750745546712
1000.0,0.58,0.37,-0.988068528746,0.0667154767314
1000.0,0.59,0.37,-0.968565717233,0.0446364324082
1000.0,0.6,0.37,-0.919946934464,-0.0110076953684
1000.0,0.61,0.37,-0.811916993201,-0.136095369447
1000.0,0.62,0.37,-0.623589369804,-0.35712202214
1000.0,0.63,0.37,-0.403001539273,-0.620824279976
1000.0,0.64,0.37,-0.241058509329,-0.820721769145
1000.0,0.65,0.37,-0.161403807701,-0.926315430758
1000.0,0.35,0.38,0.0478315395052,0.955893937942
1000.0,0.36,0.38,-0.0399311850159,0.8891412825
1000.0,0.37,0.38,-0.210456735189,0.749884478001
1000.0,0.38,0.38,-0.46499999995,0.53499999994
1000.0,0.39,0.38,-0.714922087725,0.320115526472
1000.0,0.4,0.38,-0.874836899123,0.180858745487
1000.0,0.41,0.38,-0.950676989458,0.114106150808
1000.0,0.42,0.38,-0.981473978535,0.0867273707212
1000.0,0.43,0.38,-0.993172907047,0.0762246808221
1000.0,0.44,0.38,-0.997502113814,0.0722999749926
1000.0,0.45,0.38,-0.999088308788,0.0708477126568
1000.0,0.46,0.38,-0.999667277582,0.0703121213147
1000.0,0.47,0.38,-0.999878094889,0.0701144975132
1000.0,0.48,0.38,-0.999954091656,0.0700407780675
1000.0,0.49,0.38,-0.99997940046,0.0700111367167
1000.0,0.5,0.38,-0.99998210692,0.0699935151173
1000.0,0.51,0.38,-0.999965541475,0.0699688644155
1000.0,0.52,0.38,-0.999912369499,0.0699105508662
