m1,m2,dm1,dm2,v1,v2,a1,a2
0.99,0.0,-0.17934616314,0.301962873023,1.22802048248e-50,3.77945842223e-50,-4.30320874954e-50,1.39819727973e-50
0.0,0.01,0.383623225008,0.133713737084,1.68331537635e-49,-1.22300020897e-49,1.76073194835e-49,2.42343962051e-49
0.01,0.01,0.38016830998,0.128958454503,7.77219589361e-48,-5.6468308527e-48,7.98643118749e-48,1.09923794956e-47
0.02,0.01,0.376713394952,0.124203171922,2.93807643216e-46,-2.13463747849e-46,2.96492488723e-46,4.08086901034e-46
0.03,0.01,0.373258479924,0.11944788934,9.09334240239e-45,-6.60669997705e-45,9.00888246449e-45,1.23996629478e-44
0.04,0.01,0.369803564895,0.114692606759,2.30422616023e-43,-1.67411829955e-43,2.24036609778e-43,3.08359939223e-43
0.05,0.01,0.366348649867,0.109937324177,4.78043882666e-42,-3.4731921101e-42,4.55986682625e-42,6.27611825941e-42
0.06,0.01,0.362893734839,0.105182041596,8.11991589389e-41,-5.89946422074e-41,7.59563933445e-41,1.04545006544e-40
0.07,0.01,0.359438819811,0.100426759014,1.12921438049e-39,-8.20422270657e-40,1.03549753544e-39,1.42524008647e-39
0.08,0.01,0.355983904778,0.0956714764341,1.28570808008e-38,-9.34121598735e-39,1.15531262791e-38,1.59015141358e-38
0.09,0.01,0.35252898956,0.0909161939195,1.19853149449e-37,-8.70784100167e-38,1.05489302043e-37,1.45193568273e-37
0.1,0.01,0.349074066692,0.086160914502,9.14739992459e-37,-6.64597450324e-37,7.88257362051e-37,1.08494322636e-36
0.11,0.01,0.345618828117,0.081405779976,5.7159507392e-36,-4.15286635057e-36,4.82025639615e-36,6.63452559499e-36
0.12,0.01,0.342150574932,0.0766573670393,2.92471648156e-35,-2.12460569934e-35,2.41215912752e-35,3.32030976177e-35
0.13,0.01,0.338149147264,0.0722169822209,1.23283873242e-34,-8.89917676455e-35,9.87793373733e-35,1.36416802021e-34
0.14,0.01,0.316321901386,0.0792528131017,5.36299960241e-34,-3.05184468726e-34,3.31009593431e-34,5.22484382698e-34
0.15,0.01,0.241271645894,0.126607885161,1.50581025016e-32,-8.56872344675e-34,9.07650473521e-34,9.23494019305e-33
0.16,0.01,0.232000740721,0.133167207442,1.35930074392e-30,-1.96974917965e-33,2.0365204179e-33,7.83370193485e-31
0.17,0.01,0.231768155684,0.133349131175,1.0856981873e-28,-3.70720697758e-33,3.73885480446e-33,6.24721232403e-29
0.18,0.01,0.231762868297,0.133353689936,7.11328972268e-27,-5.71246882768e-33,5.61635843138e-33,4.09291407192e-27
0.19,0.01,0.231762748551,0.133353803498,3.81586014476e-25,-7.20679156197e-33,6.90276454434e-33,2.19560517386e-25
